tree_head,effect_logit,effect_OR
D02.522,-1.8960283394781493e-05,0.9999810398963502
E05.290,0.0,1.0
H01.181,0.0,1.0
C26.797,0.0,1.0
C11.966,0.0,1.0
C02.182,0.0,1.0
C02.290,0.0,1.0
C11.744,0.0,1.0
H01.158,0.0,1.0
E05.337,0.0,1.0
C02.325,0.0,1.0
I03.883,0.0,1.0
C26.103,0.0,1.0
I03.050,0.0,1.0
E02.900,0.0,1.0
L01.313,0.0,1.0
E05.245,0.0,1.0
E07.505,0.0,1.0
E07.858,0.0,1.0
G09.330,0.0,1.0
J01.516,0.0,1.0
E07.230,0.0,1.0
E07.305,0.0,1.0
E04.515,0.0,1.0
E02.642,0.0,1.0
E04.580,0.0,1.0
D01.578,0.0,1.0
J02.200,0.0,1.0
D01.056,0.0,1.0
A11.436,0.0,1.0
C11.510,0.0,1.0
D01.303,0.0,1.0
D01.935,0.0,1.0
E05.927,0.0,1.0
G03,0.0,1.0
C19.149,0.0,1.0
C26.819,0.0,1.0
C19.297,0.0,1.0
C19.700,0.0,1.0
C16.300,0.0,1.0
C06.844,0.0,1.0
N06.230,0.0,1.0
E04.014,0.0,1.0
E02.594,0.0,1.0
D25.223,0.0,1.0
E04.936,0.0008717208808767527,1.000872100939951
D27.888,0.0015594063390879055,1.0015606228454135
E07.605,0.001974650544780366,1.0019766014510754
N06,0.0041825695102412335,1.0041913286617576
C18.654,0.004223059282443873,1.0042319889630607
C26.874,0.005366354223918584,1.0053807788938334
D01.650,0.005722946350801056,1.0057393536927812
H01.770,0.006318216313746053,1.0063382183459726
G05,0.008592537596814033,1.0086295594091244
G05.380,0.008592537596814033,1.0086295594091244
C22,0.009063063857305148,1.009104257774199
D02.691,0.011890113207159688,1.0119610815983486
D01.710,0.013154823957544786,1.0132417293109832
C11.941,0.014572961121934087,1.014679664417449
D02.389,0.01516813537075173,1.015283755376368
E02.860,0.016704383340158453,1.0168446816618653
C10.500,0.0170974475907628,1.0172444455159366
F03.400,0.017757027856544365,1.0179156212004603
D13.444,0.018060047859210594,1.0182241167325083
D01.339,0.018960172208669905,1.0191410576717086
D01.234,0.023003250036660552,1.0232698652063887
D27,0.028243618724404493,1.0286462513864099
C22.362,0.029919544123667267,1.0303716311660196
D09.400,0.03129856341712222,1.0317935137012184
G07.100,0.031762128439792404,1.0322719279642805
D02.925,0.0382899898445523,1.039032498067063
C16,0.04636481865469594,1.0474564729223377
C19.391,0.04860770167087062,1.0498084318540433
C06.301,0.05090416793970878,1.0522220518442476
D02.806,0.05241125611388838,1.0538090388194656
D01.029,0.0539916536790074,1.0554757927785507
C23.300,0.0573217996871661,1.0589965403245538
C19.344,0.05909634172817403,1.0608774425831282
