tree_head,effect_logit,effect_OR
D09.853,-0.00990678389928125,0.9901421266357121
C02.182,-0.009715172998469308,0.9903318668380936
N05.425,-0.009642310531364887,0.9904040274900332
G08,-0.009231896156112779,0.9908105869634422
D01.935,-0.009159212792718656,0.990882605026615
J02.200,-0.009106622251922667,0.9909347174489769
N04.452,-0.009100934163382899,0.9909403539894174
E02.594,-0.008851276957879916,0.9911877802736068
E07.858,-0.008705837825577245,0.9913319482478972
G12.535,-0.008638509445864273,0.9913986952686895
E04.525,-0.008499416228199542,0.9915366016939049
C08.360,-0.008484628226803816,0.9915512646469723
D01.056,-0.00846435260576014,0.9915713691684749
F04.669,-0.008250569267068289,0.9917833732669915
E05.980,-0.008057574919269209,0.9919748003238489
A11.436,-0.007999613799454765,0.992032297960401
F02.463,-0.0079153463801932,0.9921158974842829
D05.750,-0.007707119397573555,0.9923225042938347
D26.255,-0.007635910691287084,0.9923931688115191
G02.263,-0.007508797346943718,0.9925193232438962
G01.280,-0.007508797346943718,0.9925193232438962
E04.292,-0.007508797346943718,0.9925193232438962
E04.515,-0.007448638160949847,0.9925790341945289
J01.516,-0.007398067472402299,0.9926292308689554
E02.760,-0.006926698801118333,0.9930972354832789
G01.590,-0.006903112483019657,0.9931206592668173
C10.900,-0.006827769948834716,0.993195486312832
D25,-0.006633574685940828,0.9933883789002088
C02.330,-0.006553038967190257,0.993468385368948
C02.290,-0.006476781858233507,0.9935441472845118
D04.075,-0.006449979434163627,0.9935707770329487
D01.578,-0.006071081684098843,0.9939473100941568
E02.365,-0.0060188689814146875,0.9939992081243989
D25.720,-0.006016433467759732,0.9940016290259913
E04.074,-0.0058252168754008874,0.9941917168036822
I03.450,-0.0057432796264093415,0.9942731814753772
G12.122,-0.005729346091476834,0.994287035312
E05.873,-0.005666277344742844,0.9943497457267239
D10.627,-0.005617851947716581,0.994397898673847
E02.331,-0.005500379344039695,0.994514720045616
N06.230,-0.00460442678906863,0.9954061573331229
D26.650,-0.004600154654756642,0.9954104098510057
A10.830,-0.004546812799237818,0.9954635083054423
E07.505,-0.004352918912788622,0.9956565413072407
E02.900,-0.004352918912788622,0.9956565413072407
C09.400,-0.004242314113401908,0.9957666717896178
C05.500,-0.003956608650419019,0.9960512084125026
C03.202,-0.0037661093865464412,0.9962409735089663
C02.219,-0.0037661093865464412,0.9962409735089663
G02,-0.003754398673471859,0.9962526402694731
D05,-0.0037446529035653374,0.9962623495657862
D01.625,-0.0036541664326678676,0.9963525019086086
G08.852,-0.0032124908671391037,0.996792663660545
E07.206,-0.0031270722223164724,0.996877811975619
E05.796,-0.0027501896720198474,0.9972535886351155
E05.723,-0.0027501896720198474,0.9972535886351155
D01.786,-0.0027501896720198474,0.9972535886351155
D26.660,-0.0027501896720198474,0.9972535886351155
E02.785,-0.0027501896720198474,0.9972535886351155
L01.143,-0.0027501896720198474,0.9972535886351155
L01.559,-0.0027501896720198474,0.9972535886351155
I03.050,-0.002176459456394311,0.9978259073141169
I01.261,-0.0016727261021539507,0.9983286721244271
C20.841,-0.0015830464795736725,0.9984182058775709
G07,-0.0009833144262878948,0.9990171688689192
E05.885,0.0,1.0
N01.224,0.0,1.0
E05.927,0.0,1.0
I01.240,0.0,1.0
C06.267,0.0,1.0
C26.915,0.0,1.0
G16.500,0.0,1.0
C22,0.0,1.0
